-14:09 | (Owner) Marc Chee: Good Morning!
-13:05 | Izy Z: Morning! 
-7:30 | Srikar Danthurty: hey marc do you know if there any comp courses in unsw that teach R?
-5:12 | (Moderator) Michael Gribben: hi
-5:00 | (Owner) Marc Chee: I don't know sorry . . . I've barely heard of R and had to look it up just then! But that doesn't mean that no one's teaching it
-4:28 | (Owner) Marc Chee: There are actually a lot of courses even in CSE that I don't know the details of (or what specific language they're using)
-4:03 | (Owner) Marc Chee: Hi @Michael Gribben 
-3:46 | Lorenzo Grillo: morning!!!
-3:41 | Blake Morris: Good morning :)
-2:40 | (Moderator) Michael Gribben: Hello @Marc Chee 
-1:21 | (Moderator) Michael Gribben: I think DATA1001 has some R - no idea how much depth it goes into it
-0:39 | Srikar Danthurty: yeh haha im doing data science so thats why i was asking
-0:24 | Joseph Wong: Hello!
1:28 | Tao Tao: Tired af 
1:36 | (Moderator) Michael Gribben: audio is good 🙂
1:43 | Markus N: ^
2:08 | Blake Morris: sameeee
2:45 | Markus N: feels like only 2 days after the 1st assignment
3:05 | (Moderator) Michael Gribben: https://cgi.cse.unsw.edu.au/~cs1511/21T1/assignments/ass2/index.html
3:21 | (Moderator) Michael Gribben: Assignment 2 ^^ autotests should be working...
3:26 | Hussain Nawaz: Day after math exam 😞
4:06 | Markus N: same lmao
4:46 | Zihang Xu: all of the students will do final exam at the same time?
4:53 | Markus N: the exam timetable still says we have to consult the school for times
5:17 | Bhuvanish Mutharia: just think of it as a 4 week holiday 
5:26 | Lorenzo Grillo: hmmm 
5:29 | (Moderator) Michael Gribben: @Markus N the course will release more info later about the exact time but the date is now set
5:42 | Joseph Wong: don't worry, you can bump up our marks even if they dont drop?
5:54 | (Moderator) Michael Gribben: @Zihang Xu yep (except for special considerations)
6:01 | Cameron Mayhew: Is it a 2 hour exam?
6:12 | Leo Shi: is the exam 6 hours long?
6:19 | Markus N: oh god 1pm in sydney, this means 11 am, no lunch for me i guess
6:21 | Hussain Nawaz: @Bhuvanish Mutharia The thought of not having any schoolwork for 4 weeksd is frightening
6:39 | Tao Tao: h u h
6:49 | TEJ4321 Tejas: wait so how long is it
6:56 | Bhuvanish Mutharia: @Hussain Nawaz you're built different ong. I'm counting down the days to holidays
7:07 | Mag1c: So its essentially a lab
7:17 | Zihang Xu: Won't vlab crash while so many students are using
7:25 | Tao Tao: a longass lab
7:40 | Markus N: are there any past exams for reference?
7:51 | Tao Tao: they give you extra time for how laggy vlab can get
7:57 | Hussain Nawaz: @Bhuvanish Mutharia Very desperately need a holiday, I know 2-3 weeks in i will be begging to come back and have something to do
8:04 | (Moderator) Michael Gribben: The self-tests are great practice for the final exam 🙂
8:35 | Leo Shi: will we be able to use autotests in the final exam?
8:56 | Markus N: usually how many lines of code do we have to pump out in the exam
9:24 | Zijie Li: By the way what did you guys get in the mid-term exam last week.
9:35 | (Moderator) Michael Gribben: @Leo Shi very likely be autotests (having said that I'm not involved in the exam...)
9:46 | Jordan Terz: 69
9:48 | Jordan Terz: wby
9:49 | Charzinc: haha 0
9:50 | Hussain Nawaz: @Zijie Li please no, not again
9:59 | Bhuvanish Mutharia: @Hussain Nawaz just party bro. it's not that hard
10:27 | Mack n Cheese: ...midterm?
10:35 | Mack n Cheese: oh ok
11:01 | Justin Kim: this exam
11:06 | Mack n Cheese: :(
11:33 | Zijie Li: I watched the lecture during weekend and thought I missed out the "void" exam
11:49 | Mack n Cheese: can't believe I got got a week later
14:04 | Cameron Mayhew: ooo isn't this a challenge exercise in the labs?
14:12 | Cameron Mayhew: inserting not into the head
14:18 | (Moderator) Michael Gribben: ms paint time 😛
14:31 | (Moderator) Michael Gribben: yep 🙂
14:56 | Tao Tao: oh god no
14:59 | Sarthak Jain: pen pineapple apple pen
15:00 | Justin Kim: 2016 baby
15:01 | Lorenzo Grillo: OMG
15:04 | Sarthak Jain: lol
15:05 | Cameron Mayhew: next year's april fools??
15:05 | Lorenzo Grillo: that needs to happen
15:06 | JianFeng Lin: ❤
15:07 | TEJ4321 Tejas: please do it
15:10 | JianFeng Lin: My fav
15:14 | Markus N: marc chee cosplay stream when
15:18 | TEJ4321 Tejas: the colours are gonna match the marccoin
15:22 | Ben Godw: ppap was 5 years ago 😞
15:36 | Justin Kim: let's plays marc plays genshin
17:20 | Keith: ur imagination
17:32 | Joseph Wong: the hardware specs of my brain are pretty low
17:39 | Matthew Richards: nginx with the quad ref pointer
17:57 | Keith: how much ram in ur brain @Joseph Wong ?
18:17 | joshablob: 1gbof rammmm
18:30 | TheletterG: remember to download more ram for the next assingment! 
18:31 | Jieshun Wang: neural networks 😲😲😲
18:32 | Joseph Wong: my brain has 20mb ram and 1gb storage
18:51 | (Moderator) Michael Gribben: i hear the brain has a very good graphics card
19:38 | TEJ4321 Tejas: guess my brain doesn't exist then @Michael Gribben 
19:40 | Blake Morris: mine needs a new power supply
19:48 | Mack n Cheese: it only lets you see 380nm to 750nm smh
